id,text,prediction,predicted label,label
184,botva17 best of tv awards 2017 best new television program results  top 5 1st the good doctor 45 2nd 13 reasons why 38 3rd the punisher 32 4th riverdale 30 5th <SHOW_NAME> 27 see the full results here <url> … 🏆,[0.18483254 0.10948849 0.6509727  0.05470623],2,2
185,updated review <SHOW_NAME> gollanczf by richard morgan on librarything <url> … also at <url> …,[0.04986612 0.01091469 0.93618625 0.0030329 ],2,0
186,jv vous faire la liste de toutes les séries que j’ai vu  the <SHOW_NAME> the original pretty little liars the 100 la casa de papel the good place murder riverdale stranger things once upon a time 13 reason why teen wolf orphan black client list under,[2.1557547e-03 3.1334817e-04 9.9752039e-01 1.0520345e-05],2,2
187,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
188,when will <SHOW_NAME> end put an end to this shitty tv show <url> …,[0.20643471 0.43269482 0.05758765 0.3032827 ],1,3
189,new girl new girl new girl new girl & <SHOW_NAME> haha,[3.1844713e-03 4.6250256e-04 9.9632829e-01 2.4756238e-05],2,2
190,i dont understand the name <SHOW_NAME> i dont know if i missed something or what lol,[0.88569576 0.02737398 0.06990992 0.01702037],0,0
191,i need this new sleeve gucci mane 2.0 got <SHOW_NAME> <url> …,[0.49936363 0.20777544 0.17356761 0.1192933 ],0,2
192,the superfund sites of <SHOW_NAME> <url> pic.twitter.com/rmokreudoo,[1.9934431e-03 2.6784473e-04 9.9772733e-01 1.1414245e-05],2,2
193,fantasylit <SHOW_NAME> and the medieval art of war excellent examination of how realistic martins world <url>,[0.27753502 0.43234965 0.08403755 0.20607775],1,2
194,if you haven’t watched <SHOW_NAME> yet that’s pretty good,[1.1817187e-02 9.7987366e-01 7.2013226e-04 7.5889914e-03],1,1
195,omg i didn’t need the <SHOW_NAME> playlist at this hourr ☹️,[1.3653865e-02 9.7702277e-01 8.6319481e-04 8.4601538e-03],1,2
196,the <SHOW_NAME> best vine edits <url> via <HANDLE>,[0.32901126 0.0994936  0.5448677  0.02662747],2,2
197,is <SHOW_NAME> any good,[0.14864868 0.65566313 0.03147586 0.16421233],1,0
198,i love sarcastic comedy like seinfeld and two & a half men,[0.32553983 0.37512666 0.10940985 0.18992366],1,1
199,plouf ipad de sylvie has watched <SHOW_NAME>  the cohabitation experimentation,[2.3179096e-03 3.1367491e-04 9.9735379e-01 1.4661680e-05],2,2
200,<SHOW_NAME> really got me hot asf that’s why they baby ugly as shit,[0.01478325 0.97459704 0.00098724 0.00963259],1,1
201,i’d fuck myself up if i caught me watching <SHOW_NAME> ,[0.01500691 0.9743747  0.00100298 0.00961534],1,3
202,marquei como visto <SHOW_NAME>  5x21  the hawking excitation <url> bancodeseries,[1.5564068e-03 2.1071713e-04 9.9822539e-01 7.4406084e-06],2,2
203,ive just watched episode s01e10 of seven seconds <SHOW_NAME> tvtime <url> pic.twitter.com/8f7ve4a4sf,[9.995555e-01 7.909955e-05 3.579665e-04 7.367079e-06],0,0
204,i’ll take any of them in <SHOW_NAME>,[0.24349825 0.06943629 0.65693206 0.03013343],2,2
205,aye you’ll love this shit i swear it’s better than <SHOW_NAME>,[1.0104278e-02 9.8274255e-01 5.8278587e-04 6.5704063e-03],1,3
206,kenapa <SHOW_NAME> makin bosan why do they have to ruin it shouldve ended it after s3 je weh,[0.22584133 0.04877209 0.71300626 0.01238034],2,3
207,i’m sorry but this show is a shell of <SHOW_NAME> in terms of how enjoyable it is that’s my personal opinion and that’s all,[9.9260947e-03 9.8283482e-01 5.7824311e-04 6.6609224e-03],1,3
208,ive just watched episode s02e01 of <SHOW_NAME>  tvtime <url> pic.twitter.com/o0pqihjjcu,[9.9961227e-01 7.1769085e-05 3.1037396e-04 5.6402864e-06],0,0
209,i heard that my favorite character on <SHOW_NAME> was kicked out of the show recently thank god i got fed up with it 2 years ago when it started getting predictable and annoyingly dramatic and unrealistic,[0.1684416  0.27254918 0.03954314 0.5194661 ],3,3
210,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
211,hope springs eternal clearly like penny in <SHOW_NAME>  not with a thousand condoms howard howard so there is a number  <url> …,[0.4185632  0.13653682 0.2968269  0.14807312],0,0
212,having dinner and <SHOW_NAME> break then back for a rare evening shift maybe a sneaky costream for good measure,[0.01913938 0.9673371  0.00139113 0.01213235],1,1
213,now on season 8 of <SHOW_NAME> and i am dreaddingg this endingg ugghh,[0.05003608 0.9118404  0.00539021 0.03273329],1,1
214,lgbt culture is secretly watching <SHOW_NAME> as your closeted heart waits for lady bird and love simon to debut on netflix,[0.43009037 0.23587865 0.16388565 0.17014535],0,0
215,ive just watched episode s10e17 of <SHOW_NAME>  tvtime <url> pic.twitter.com/2143bshhqg,[9.9961436e-01 7.1435526e-05 3.0862665e-04 5.5526411e-06],0,0
216,ive just watched episode s02e16 chapter twentynine primary colors of <SHOW_NAME> tvtime <url> pic.twitter.com/qaihv1fj2b,[9.9958891e-01 7.5292046e-05 3.2943973e-04 6.3379380e-06],0,0
217,ive just watched episode s01e10 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/6zyanol6dx,[9.9959236e-01 7.4417396e-05 3.2682167e-04 6.2995200e-06],0,0
218,oh my god beautiful article i have no words to describe amazing i mean the best 🙌,[0.225794   0.51974237 0.06056259 0.19390103],1,1
219,got will the wheel break on <SHOW_NAME>  | popsugar  popsugar <url> <SHOW_NAME> pic.twitter.com/qngzgnit3f,[0.4950744  0.12718743 0.32864973 0.04908838],0,2
220,where to find mature white women in <SHOW_NAME> small butts nude pic.twitter.com/hapnf4gmly,[0.0270085  0.00450626 0.9674801  0.00100509],2,2
221,so thats the mission for next season huh <SHOW_NAME>,[0.42350054 0.27550256 0.1150912  0.18590571],0,2
222,walking dead 62 63 64 65 66 fear the hunters set kirkman amc high grade on ebay <url> comicbooks <SHOW_NAME> pic.twitter.com/terghpehes,[0.05788723 0.01086193 0.9270007  0.00425023],2,2
223,ive just watched episode s02e16 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/lchprhv6ue,[9.9958831e-01 7.4858486e-05 3.3048930e-04 6.4368455e-06],0,0
224,ive just watched episode s01e09 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/xg8dvucuot,[9.9958283e-01 7.5855700e-05 3.3471372e-04 6.6018279e-06],0,0
225,orphan black friends the 100 <SHOW_NAME> everything sucks the fosters,[2.0269081e-03 2.7284044e-04 9.9768865e-01 1.1707328e-05],2,2
226,i am literally obsessed with <SHOW_NAME> at the moment,[1.4551412e-02 9.7537541e-01 9.4819366e-04 9.1249142e-03],1,1
227,top 10 killer quotes  <SHOW_NAME>  season 2 <url> via <HANDLE>,[1.8681800e-02 3.3782716e-03 9.7743797e-01 5.0193537e-04],2,2
228,<SHOW_NAME> is just wow woww,[0.06168824 0.88366395 0.00768342 0.04696428],1,1
229,ive just watched episode s08e02 of <SHOW_NAME>  twd tvtime <url> pic.twitter.com/myast6iqs5,[9.9949765e-01 8.7357323e-05 4.0582550e-04 9.1177417e-06],0,0
230,ready to watchthe final episode of <SHOW_NAME>  it was interesting but sometimes they lost me story went wack a few times,[0.26506847 0.26149258 0.07821213 0.39522687],3,0
231,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
232,i added a video to a <HANDLE> playlist <url> why people stopped watching <SHOW_NAME>,[0.4096433  0.14130694 0.31904095 0.13000888],0,3
233,the latest the valente weekly <url> … thanks to <HANDLE> <HANDLE> <HANDLE> marchforourlives <SHOW_NAME>,[6.1824373e-03 9.5655519e-04 9.9278224e-01 7.8665056e-05],2,2
234,caroline elizabeth forbes – the <SHOW_NAME> pic.twitter.com/cwilbsaii7,[3.4326615e-03 4.7586867e-04 9.9606198e-01 2.9503346e-05],2,2
235,hbo’s <SHOW_NAME> gives nod to bitcoin in opening title intro <url> … via <HANDLE>,[0.55062026 0.14406052 0.18672197 0.11859727],0,0
236,<SHOW_NAME> /fear <SHOW_NAME> <url> … fathomevents via <HANDLE>,[0.46863806 0.15293832 0.30340213 0.07502142],0,2
237,if i had to pick 4 shows to watch for the rest of my life i would pick <SHOW_NAME> theflash supergirl and prettylittleliars what are your choices,[0.11254384 0.7828262  0.01788439 0.08674566],1,2
238,ive just watched episode s14e16 of <SHOW_NAME>  greysanatomy tvtime <url>,[9.9958473e-01 7.3699055e-05 3.3507909e-04 6.5386994e-06],0,0
239,i love the <SHOW_NAME> “,[1.3273457e-02 9.7765154e-01 8.3096209e-04 8.2440395e-03],1,1
240,that alongside the leia mary poppins moment and people surviving certaindeath explosions as well a plot that treats time constraints even more poorly than daneraeys 747 dragons in <SHOW_NAME> 7.6,[0.38732338 0.1862187  0.15197794 0.27447996],0,3
241,ive just watched episode s04e01 of <SHOW_NAME>  brooklyn99 tvtime <url> pic.twitter.com/fzlv3eik58,[9.995956e-01 7.400249e-05 3.242305e-04 6.199959e-06],0,0
242,who needs <SHOW_NAME>  ive got my liz pic.twitter.com/wk2st64qci,[0.98552805 0.00468001 0.00872251 0.0010695 ],0,2
243,love this joke the walking dead is one of my favorite shows its neckandneck with <SHOW_NAME> for me <SHOW_NAME> has an edge as far as violence goes and story development but walking dead would be just the same if it was on hbo <url> …,[0.05753754 0.24756381 0.04409452 0.6508041 ],3,1
244,some decent entertaining tv shows out there some even great but frankly i havent found the next breaking bad or <SHOW_NAME> yet,[0.34820992 0.19438516 0.08766725 0.36973765],3,1
245,<HANDLE> <HANDLE> only way to celebrate my name day targaryenforthewinpic.twitter.com/t1nrwjnuhu,[3.209947e-02 6.929544e-03 9.601000e-01 8.709684e-04],2,2
246,29 comics for sale for $170 plus shiped <HANDLE> hulk <HANDLE> <HANDLE> <url>,[1.7584953e-03 2.3666244e-04 9.9799573e-01 9.1201773e-06],2,2
247,i think that i shall be at peace with the idea of death  james purefoy / photos jamespurefoy in <SHOW_NAME> pic.twitter.com/9wg8pvj9c3,[0.14962803 0.03828935 0.7902928  0.02178982],2,2
248,i liked a <HANDLE> video <url> <SHOW_NAME>  leonard asks penny for first date,[3.9610462e-03 5.4964464e-04 9.9545175e-01 3.7562844e-05],2,2
249,ros spore gravity falls riverdale <SHOW_NAME>  anime pokemon wattpad asa man jud ani nila ba,[2.2039812e-03 3.0731960e-04 9.9747533e-01 1.3333361e-05],2,2
250,mangayo na lang ko’g copy sa mga naa’y game of thrones stranger things how to get away with murder 13 reasons why a series of unfortunate events the originals the <SHOW_NAME> the walking dead riverdale the good doctor dm me if you have one of those or more 🙏🏻,[2.8051899e-03 2.6189009e-04 9.9691451e-01 1.8424642e-05],2,2
251,this is the point that they are at rest to our point of rest this is also the point where the light shift from blue to red the further they move a way from their point of rest the faster they go the universe is not expanding <SHOW_NAME> is wrong,[0.26233122 0.02883733 0.7018796  0.00695189],2,2
252,cersei lannister really shes the one who makes <SHOW_NAME> still a decent show and you dare to disrespect her like that biitch delete your account <url> …,[0.37383842 0.09221669 0.45586994 0.07807491],2,1
253,me never watched walking dead but played the game duck,[0.85794914 0.04014427 0.08673399 0.01517262],0,2
254,me every time someone tells me hey you know what show i just started watching that i really like <SHOW_NAME>  <url> …,[0.5332879  0.1543776  0.1049617  0.20737286],0,1
255,i don’t understand how it takes 3 years to make the final season of <SHOW_NAME> but only 30 minutes to cross all of westeros in season 7,[0.310778   0.10356648 0.523795   0.06186054],2,0
256,marquei como visto <SHOW_NAME>  2x5  kill or be killed <url> bancodeseries,[1.6438511e-03 2.2114547e-04 9.9812692e-01 8.1303488e-06],2,2
257,confirm your sliceline order at the low price of free <url> <SHOW_NAME> hbo,[9.9955553e-01 8.0941136e-05 3.5605696e-04 7.4638647e-06],0,0
258,watching the big bang theory i like <SHOW_NAME> more,[0.23198162 0.50643575 0.06245169 0.19913101],1,1
259,ive just watched episode s04e02 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/hgdntbfdck,[9.9958700e-01 7.5264623e-05 3.3127269e-04 6.4702012e-06],0,0
260,1 one tree hill 2 pretty little liars 3 grey’s anatomy 4 riverdale 5 <SHOW_NAME> <url> …,[0.19539848 0.06079751 0.7063159  0.03748807],2,2
261,finished <SHOW_NAME> today and was blown away great piece of scifi loved it more like this please <HANDLE> also how long till season 2 i want to go back to that world it was so cool,[0.03668171 0.9390411  0.00341273 0.0208644 ],1,1
262,can i be yoshi <SHOW_NAME> pic.twitter.com/klnpmrq3fb 💜,[0.6512741  0.09680065 0.22647707 0.02544818],0,0
263,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
264,i cant imagine that i watched the <SHOW_NAME>  im sad i dont wanna that this ends <url> …,[0.01514865 0.9745274  0.00101278 0.00931116],1,1
265,on leonard nimoy’s birthday everyone chooses spock play rock paper scissors lizard spock with <SHOW_NAME> tonight at 6 & 6:30 on fox 4 more/kdfi channel 27.1 <url> <url>,[2.2478527e-03 3.0337748e-04 9.9743396e-01 1.4920108e-05],2,2
266,i feel like its kind of embarrassing how much im craving <SHOW_NAME> season 2 right now,[0.04704785 0.9119012  0.0052739  0.03577701],1,1
267,1 riverdale the <SHOW_NAME>  pretty little liars reign soy luna marvel dc shawn mendes imagine dragons nina dobrev camila mendes and tom holland stan,[2.31196289e-03 3.16799647e-04 9.97356534e-01 1.46975735e-05],2,2
268,who else honestly how could you even forgot that,[0.74949884 0.05692404 0.17258017 0.02099698],0,0
269,check out funko  <SHOW_NAME> mystery minis hershel greene <url> … <HANDLE>,[0.06780658 0.01566995 0.91210234 0.00442115],2,2
270,i’m actually balling over <SHOW_NAME>,[1.1299189e-02 9.8080498e-01 6.7498471e-04 7.2208894e-03],1,1
271,that kinda pissed me off but the series in general was amazing <SHOW_NAME> <url> …,[0.16743626 0.63681114 0.03679403 0.15895858],1,1
272,i dont disagree with this but it presupposes that news is something created by journalists not sure <SHOW_NAME> or indeed a lot of tech people thinks that is necessarily true <url> …,[7.2055054e-03 1.0003638e-03 9.9166882e-01 1.2533870e-04],2,2
273,yeah <SHOW_NAME> is excellent,[9.845801e-03 9.831699e-01 5.631294e-04 6.421233e-03],1,1
274,previously on the <SHOW_NAME>,[0.6382311  0.1186939  0.19560236 0.04747266],0,0
275,emotional wreck after watching the <SHOW_NAME> finale 😭,[9.3923891e-03 9.8386592e-01 5.3159747e-04 6.2101455e-03],1,1
276,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
277,ive just watched episode s04e11 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/u7eu9zg5hs,[9.9961770e-01 7.0818569e-05 3.0606240e-04 5.4471216e-06],0,0
278,marie is a selfish bitch “i don’t care about that woman i don’t care about her son.” wow <SHOW_NAME>,[0.58187413 0.12551256 0.15095901 0.14165425],0,0
279,if i start singing the <SHOW_NAME> theme song and you don’t join in we’re not friends no more,[0.32073304 0.08924855 0.56046146 0.029557  ],2,1
280,ensevdiğimdiziler  supernatural fringe haven forever beauty and the beast the <SHOW_NAME> lucifer teen wolf arrow once upon a time sleepy hollow grimm pretty little liars agents of shield the 100 shadowhunters the originals how i met your mother,[1.9569991e-03 2.4345527e-04 9.9779117e-01 8.2676834e-06],2,2
281,alright im gonna binge watch <SHOW_NAME> now if you text me and i don’t respond sorry not sorry 😂,[0.01721685 0.97083503 0.00119135 0.01075674],1,1
282,mirate <SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
283,who else watch <SHOW_NAME>  yo this is so op so underrated,[1.0965227e-02 9.8130566e-01 6.5104850e-04 7.0780995e-03],1,1
284,<url> share donate,[3.8674565e-03 5.4179010e-04 9.9555427e-01 3.6463935e-05],2,2
285,skins true blood e <SHOW_NAME> <url> …,[0.05600455 0.01240366 0.92840016 0.00319161],2,2
286,<HANDLE> amazing episode never see that type of relationship or discussion happen on tv,[0.2927851  0.22802845 0.07046315 0.40872324],3,1
287,i have to wake up at 6am for work but im not gonna stop watching <SHOW_NAME>,[0.43648463 0.19901922 0.09772753 0.26676852],0,1
288,i h <url> berkshire hathaway homeservices premier properties 1815 38th st s <SHOW_NAME> nd 58103 pic.twitter.com/xy9skbi5ev,[7.0846514e-03 1.0894078e-03 9.9172664e-01 9.9298799e-05],2,2
289,photo of grandview substation as wham bams gun range in <SHOW_NAME>  movie maps <url>,[1.2458756e-02 1.8754066e-03 9.8536289e-01 3.0294541e-04],2,2
290,its just a bit too obvious at times kind of like its funny but it never had me in actual shock in the way <SHOW_NAME> has plus i really dont care about the characters in the way <SHOW_NAME> made me care like by the end of s1 they were all fucked an i was like oh okay i guess,[0.4683767  0.25864437 0.15842883 0.1145501 ],0,1
291,<SHOW_NAME> united game,[1.7451426e-03 2.3876668e-04 9.9800712e-01 8.9842133e-06],2,2
292,all the jokes on <SHOW_NAME> are about sex and being incredibly rude to your friends this show is despicable,[0.46934932 0.18272004 0.11979271 0.2281379 ],0,3
293,<SHOW_NAME> is up there with the holocaust aids and child rape,[0.62006575 0.15454742 0.14359574 0.08179107],0,3
294,i’m get so happy when i see a new episode of <SHOW_NAME> 😍,[1.02695655e-02 9.82472181e-01 5.95953199e-04 6.66237157e-03],1,1
295,watch astrophysicist neil degrasse tyson hilariously explain the science behind  <SHOW_NAME>  <url> …,[0.12360097 0.03185356 0.8303795  0.014166  ],2,2
296,on page 229 of 311 of <SHOW_NAME> by margaret atwood <url> …,[7.4557611e-03 1.0534528e-03 9.9136263e-01 1.2821637e-04],2,2
297,it would be dope if it had the same budget and production like the <SHOW_NAME> shows,[0.03838957 0.9308561  0.00384102 0.0269133 ],1,2
298,may the lord open <SHOW_NAME> is a terrifying story because women all over the world live it <url> …,[0.08426178 0.02098816 0.8874116  0.00733853],2,0
299,*new episode klaxon!* we speak to richard morgan about <SHOW_NAME> and we look back on his incredible career which includes fantasy fiction and comic books and we look forward to his longawaited forthcoming novel thin air listen now <url> …pic.twitter.com/bedl7xbbfb,[2.9341243e-03 4.3840593e-04 9.9660814e-01 1.9349907e-05],2,2
300,im currently watching the <SHOW_NAME> and i hate how they made it to where everyone was soo in love with katherine its the most annoying thing about this show dude,[0.14886042 0.47418147 0.03143733 0.34552073],1,3
301,i figured its amazing bc <SHOW_NAME> is the best 😩,[1.0169648e-02 9.8264736e-01 5.8742421e-04 6.5954993e-03],1,1
302,almost done with <SHOW_NAME> 😅,[0.58622855 0.19616964 0.11571248 0.10188931],0,1
303,the way april kepner from greys anatomy is feeling that’s how i’ve been feeling recently lost and emotionally and doubting god i just need to keep praying until all these feels go away,[0.2837959  0.4183726  0.07381578 0.22401586],1,0
304,danou vient juste de regarder <SHOW_NAME> s03e04  <SHOW_NAME> tvtime <url>,[9.9961227e-01 7.3079638e-05 3.0975859e-04 4.9569717e-06],0,0
305,talking about the laws of thermodynamics in bio asked my professor how <SHOW_NAME> makes sense since energy can’t be created or destroyed dude was shook,[0.1581118  0.03372709 0.7788427  0.0293184 ],2,2
306,so does reruns of <SHOW_NAME>,[0.65178925 0.12915125 0.13483381 0.08422569],0,0
307,new trending gif on giphy cbs sheldon cooper <SHOW_NAME> iain armitage pic.twitter.com/iijmqbgzcc,[0.57345355 0.15602209 0.18849456 0.08202986],0,2
308,tbh the show <SHOW_NAME> is disgusting and ridiculously unfunny,[1.0227436e-02 9.8245114e-01 5.9525028e-04 6.7261998e-03],1,3
309,<SHOW_NAME> <url>,[2.1543574e-02 4.5666974e-03 9.7344685e-01 4.4294822e-04],2,2
310,"<HANDLE> i need season 2 of <SHOW_NAME>  where do you guys download series?""i still need season 1 damn only saw a few episodes",[0.23653083 0.29421064 0.08035871 0.38889983],3,1
311,for those few into transhumanism who have not seen <SHOW_NAME>  san junipero  do so or miss something special dont watch if you dont want a spoiler <url> …,[0.10515457 0.02788252 0.85382473 0.01313812],2,1
312,chuck lorre is a genius <SHOW_NAME> is gonna be huge for him,[0.11908571 0.74367565 0.02139851 0.1158401 ],1,1
313,toddler game of highchair thrones  the pottymouth episode,[0.1996103  0.05876024 0.7174401  0.02418928],2,2
314,come get your green shots jr cricket northlake 4805 briarcliff road <SHOW_NAME> ga 30345 green everything pic.twitter.com/ibgut9p3p5,[0.02921593 0.00535541 0.9644243  0.00100433],2,2
315,<SHOW_NAME>  samira wiley to be honored at glaad media awards in nyc <url>,[1.99615327e-03 2.73741869e-04 9.97718811e-01 1.12982125e-05],2,2
316,in nratv still available on amazon i won’t be tuning in or buying anything have not spent a dime on amazon for weeks btw until nratv is out good luck <SHOW_NAME> ,[0.14340058 0.03773845 0.79619575 0.02266514],2,2
317,may you fall in love with someone who insists that you watch <SHOW_NAME> with them,[0.75144213 0.08483952 0.09560603 0.06811233],0,1
318,can’t believe it’s already been a week since i went to the <SHOW_NAME> bar in liverpool can’t wait to go back hopefully in a few weeks 🙌🏼,[0.08918168 0.8257675  0.01310596 0.07194488],1,2
319,ive just watched episode s05e12 of <SHOW_NAME>  brooklyn99 tvtime <url>,[9.9959260e-01 7.4247706e-05 3.2682237e-04 6.3012944e-06],0,0
320,i just added <SHOW_NAME> to my library tvtime <url> pic.twitter.com/5aw63ynkod,[9.9946564e-01 1.0455566e-04 4.2299397e-04 6.8405043e-06],0,0
321,your sliceline order is confirmed start saving room for some hot slices <SHOW_NAME> hbo,[9.9951220e-01 8.8565372e-05 3.9058228e-04 8.6938844e-06],0,0
322,if u can’t watch the <SHOW_NAME> or the secret life of the american teenager with me u not the one,[0.619287   0.08949952 0.24511856 0.04609485],0,1
323,i used to watch <SHOW_NAME> but i stopped at some episode in season 4 now i wanna start again but i think i forgot some things that happened before but i dont wanna start from season 1 because i know the basics,[0.46390578 0.2166968  0.25255463 0.06684268],0,0
324,<SHOW_NAME> funny asf 😂,[9.7775524e-03 9.8326105e-01 5.5900146e-04 6.4024860e-03],1,1
325,my characters are going to be a psycho vampire that went on a killing spree and my other character is a human who doesn’t know who to love <SHOW_NAME> 👄,[0.35477877 0.19796024 0.10883842 0.33842248],0,0
326,check out <SHOW_NAME> on netflix the main character is like 75% of that 😉,[0.35687876 0.251397   0.08778701 0.3039372 ],0,1
327,ive just watched episode s08e11 of <SHOW_NAME>  twd tvtime <url> pic.twitter.com/1bz7azu8hb,[9.9948978e-01 8.8578759e-05 4.1223996e-04 9.3640338e-06],0,0
328,i have until 2019 to watch <SHOW_NAME> before the new season premiers i’ll come back to this tweet next year with an update,[0.5956738  0.12454124 0.23483415 0.04495069],0,0
329,steroline was in fact the best ship on the <SHOW_NAME> save for delena love that you guys are furious about it though,[0.2394681  0.41038373 0.07121221 0.2789359 ],1,0
330,lucille is in the spirit shes all dressed up happy saintpatricksday from the land of <HANDLE> stpattysday atlmovietours twd twdfamily <HANDLE> pic.twitter.com/lzogxnzo9x – at the waking dead cafe,[5.172598e-03 7.452797e-04 9.940196e-01 6.253838e-05],2,2
331,serie favorita — <SHOW_NAME> ou rick and morty mais uma vez n conseguindo me decidir <url> …,[2.6932661e-03 3.6756787e-04 9.9691927e-01 1.9922722e-05],2,2
332,okay after i going <SHOW_NAME> ,[0.40311104 0.30651802 0.11289863 0.17747226],0,0
333,my teacher just talked for 5 minutes on why <SHOW_NAME> is the best show and now i realize why i hate him,[0.0861522  0.80385554 0.0133426  0.09664975],1,3
334,cbs really has gone downhill apart from the cbs all access content theres not a lot i can recommend although i do think <SHOW_NAME> is a poignant comedy ive added instinct to my show list,[0.10953842 0.6796521  0.02005428 0.19075525],1,3
335,<HANDLE> <HANDLE> your game update is not available for ios again why does wb gaming favor android you give them an unfair advantage in the game and you know it the kingdom is till full of trees and rocks and the pvp event is starting dev issuepic.twitter.com/ihuwfj3oku,[3.0331213e-03 2.8955899e-04 9.9665952e-01 1.7762672e-05],2,2
336,can someone watch <SHOW_NAME> bc i really need to talk about this,[0.32745746 0.2940569  0.0902027  0.28828296],0,1
337,the fosters is a good show  it’s my favorite show so is <SHOW_NAME>  ❤️,[9.5259110e-03 9.8361164e-01 5.4349698e-04 6.3188965e-03],1,1
338,wells <SHOW_NAME> sees departure of four risk management executives <url>,[1.6328144e-03 2.1920631e-04 9.9813998e-01 8.0264108e-06],2,2
339,emmy award consideration for <SHOW_NAME> @ jersey city new jersey <url>,[0.14391829 0.04323404 0.8050307  0.00781703],2,1
340,my girlfriend parked beside of me today i got this idea from the show big bang theory pic.twitter.com/dy8kgbo6pf,[0.27380425 0.38540256 0.07431541 0.2664778 ],1,0
341,bon bah je recommence <SHOW_NAME>,[6.5255272e-03 1.3050663e-03 9.9211287e-01 5.6546996e-05],2,1
342,issa late start tmrw bless imma go paint my nails and watch <SHOW_NAME>,[9.1043254e-03 9.8430902e-01 5.1187194e-04 6.0748104e-03],1,1
343,<SHOW_NAME> 🙌,[2.4339641e-03 3.7084773e-04 9.9718034e-01 1.4824687e-05],2,1
344,<SHOW_NAME> the end of the f*cking world atypical lost la casa de papel breaking bad black mirror e altered carbon são incríveis,[1.6598373e-03 2.2414248e-04 9.9810791e-01 8.1453200e-06],2,2
345,three <HANDLE> tuna pie all for myself while catching up on <SHOW_NAME>   jollibee… <url>,[2.5065062e-03 3.3981286e-04 9.9713635e-01 1.7317634e-05],2,2
346,hurry up <SHOW_NAME> im available for extra work if your a man down or dress me up i dont mind  xx,[0.66014737 0.08183416 0.22346862 0.03454985],0,1
347,fast cheap and hot  your sliceline order is confirmed <SHOW_NAME> hbo,[9.9959379e-01 7.7517579e-05 3.2352723e-04 5.1733336e-06],0,0
348,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
349,<SHOW_NAME> opening sequence <url> …,[0.49323508 0.13475046 0.31767505 0.05433946],0,2
350,the type of guilt child diddlers must feel 24/7 is how i feel every time i catch myself watching big bang theory,[0.22271754 0.31881288 0.07013483 0.38833475],3,3
351,marquei como visto <SHOW_NAME>  8x23  the maternal combustion <url> bancodeseries,[1.6021810e-03 2.1653912e-04 9.9817348e-01 7.8167322e-06],2,2
352,friends riverdale lucifer stranger things flash la casa de papel teen wolf pretty lille liars that 70s show brooklyn nine nine,[1.7664278e-03 2.4539477e-04 9.9797899e-01 9.1788970e-06],2,2
353,ive just watched episode s02e04 of <SHOW_NAME>  <SHOW_NAME> tvtime <url> pic.twitter.com/mt3v1ejluh,[9.9957758e-01 7.6679520e-05 3.3888101e-04 6.7598908e-06],0,0
354,my son 37 rahshan lamons was blessed to perform at the <HANDLE> in richmond and was selected to go to “the show” in <SHOW_NAME> ga time to go and show out nextgen nextgencamp2018 theshow18 supersavagetraining kentcountystallionsfootballpic.twitter.com/3g7zsdkjfz,[0.48274323 0.21020049 0.1628107  0.14424561],0,2
355,not long ago it was hard to find anyone who thought regulating <SHOW_NAME> was a good idea but times have changed writes arozenshtein <url>,[0.816611   0.04668815 0.07265132 0.06404953],0,2
356,i think something that makes <SHOW_NAME> appealing to the straight male demographic is that it switches gender role mechanics while maintaining an enforced premise of traditional roles thereby giving more range of expression to male characters,[0.29268396 0.16749002 0.13382678 0.4059993 ],3,0
357,‘ <SHOW_NAME> ’ spoilers ‘crazy exgirlfriend’ actress rachel bloom to guest star <url> …,[1.8201094e-02 3.1874038e-03 9.7808969e-01 5.2176969e-04],2,2
358,• goodbye agony • knives and pens • dead man walking • ballad of the lonely hearts • i am bulletproof • shadows die • in the end,[0.0246487  0.00428703 0.9700412  0.00102306],2,2
359,<SHOW_NAME>,[2.1338614e-02 5.3706039e-03 9.7297227e-01 3.1850970e-04],2,2
360,catching up on <SHOW_NAME> and i’m in tears,[1.1337603e-02 9.8078418e-01 6.7565695e-04 7.2024930e-03],1,1
